uniqueID,lake,stateCountry,surfaceArea_km2,meanDepth_vol_SA_m,inflowRate_Q_m3_s,hrt_years,Tpout_mg_m3,loadingConstant_kgP_yr,volume_10^6m3,loadingM2_mgTP_m2yr,TPout/TPin,Rp,TPin_mg_m3,K_1_year,depth_10_z,flushingRate_1_years,qs_m_years_flush,qs_m_years_SA
256,Swinging Bridge,NY,3.5,13.4,5.9,0.25,57,24540,46.5,7072,0.432,0.568,132,5.21,0.75,4.0,53.2,53.62
257,Conesus,NY,12.9,8.9,2.2,1.70,20,4925,114.7,382,0.282,0.718,71,1.50,1.12,0.6,5.2,5.38
258,Lower St. regis,NY,1.9,5.1,1,0.30,17,762,9.5,407,0.704,0.296,24,1.40,1.96,3.3,16.9,16.86
259,Slatersville,RI,0.8,2.4,4.4,0.01,32,4698,2.0,5593,0.945,0.055,34,4.24,4.17,73.0,175.2,165.19
260,Turner,RI,0.5,1.5,2.6,0.01,850,80512,0.7,164310,0.866,0.134,982,17.17,6.67,110.6,165.9,167.33
261,Champlain,Verm,1130.0,19.4,313,2.60,18,571666,21922.0,506,0.311,0.689,58,0.85,0.52,0.4,7.5,8.74
262,Clyde,Verm,0.6,3.4,6,0.01,21,4712,1.9,8267,0.843,0.157,25,18.84,2.94,101.4,344.7,331.96
263,Harriman,Verm,8.8,10.4,13.6,0.21,9,7791,91.9,881,0.495,0.505,18,4.77,0.96,4.7,48.7,48.52
264,Lamoille,Verm,0.6,1.7,12.4,0.00,18,15605,1.1,25169,0.451,0.549,40,444.20,5.88,365.0,620.5,630.72
265,Arrowhead Mtn,Verm,3.3,3.1,34.4,0.01,15,37628,10.4,11266,0.432,0.568,35,136.86,3.23,104.3,323.3,324.80
266,Waterbury,Verm,3.6,12.7,6.4,0.23,7,4825,45.7,1340,0.293,0.707,24,10.62,0.79,4.4,55.8,56.06
267,Butte Des Morts,Wisc,35.8,1.8,117,0.02,76,344562,64.5,9614,0.814,0.186,93,13.92,5.56,60.8,109.5,102.95
268,Butternut,Wisc,4.1,4.3,1.4,0.40,73,2603,17.5,640,1.238,-0.238,59,-0.48,2.33,2.5,10.8,10.85
269,Delavan,Wisc,7.2,7.6,0.617978546,2.80,141,8009,54.6,1115,0.343,0.657,411,0.68,1.32,0.4,2.7,2.71
270,Eau Claire,Wisc,4.5,2.3,12.3,0.03,89,40884,10.4,9045,0.844,0.156,105,6.73,4.35,36.5,84.0,85.82
271,Green,Wisc,29.7,31.7,1.4,21.00,28,7424,942.4,250,0.167,0.833,168,0.24,0.32,0.0,1.5,1.49
272,Kegonsa,Wisc,11.0,5.2,4.9,0.37,115,20376,57.1,1854,0.872,0.128,132,0.39,1.92,2.7,14.0,14.06
273,Koshkonong,Wisc,42.4,1.6,33.8,0.07,361,418485,67.9,9868,0.919,0.081,393,1.33,6.25,15.2,24.3,25.13
274,Nagawicka,Wisc,4.2,9.9,0.868531203,1.50,124,5515,41.1,1329,0.616,0.384,201,0.42,1.01,0.7,6.6,6.60
275,Poygan,Wisc,44.5,2.1,84.2,0.04,74,246880,93.4,5550,0.796,0.204,93,7.20,4.76,28.1,59.0,59.70
276,Shawano,Wisc,24.9,3.2,1.7,1.50,20,1810,79.7,73,0.592,0.408,34,0.46,3.13,0.7,2.1,2.15
277,Sinissippi,Wisc,9.3,1.4,4.6,0.09,404,59134,13.0,6352,0.991,0.009,408,0.10,7.14,11.1,15.5,15.58
278,Swan,Wisc,1.6,9.7,1,0.49,141,4567,15.9,2785,0.974,0.026,145,0.06,1.03,2.1,19.9,19.23
279,Tainter,Wisc,6.9,4.1,32,0.03,111,139002,28.1,20292,0.806,0.194,138,8.79,2.44,36.5,149.7,147.32
280,Townline,Wisc,0.6,3.8,0.106042307,0.69,78,848,2.3,1390,0.308,0.692,254,3.25,2.63,1.4,5.5,5.48
281,Wapogasset,Wisc,4.8,5.3,1.5,0.53,43,3415,25.4,711,0.596,0.404,72,1.28,1.89,1.9,10.0,9.86
282,Wausau,Wisc,7.8,2.2,100.4,0.01,59,220458,17.1,28410,0.847,0.153,70,32.88,4.55,182.5,401.5,408.02
283,Winnebago,Wisc,557.3,4,122.3,0.58,116,521524,2229.2,936,0.858,0.142,135,0.29,2.50,1.7,7.0,6.92
284,Wisconsin,Wisc,36.0,1.8,207.1,0.01,58,547868,64.8,15210,0.691,0.309,84,40.73,5.56,91.3,164.3,181.32
285,Wissota,Wisc,22.0,8.8,133.1,0.05,43,194771,193.3,8865,0.927,0.073,46,1.70,1.14,21.5,188.9,191.05
286,Tichigan,Wisc,4.6,1.9,5.4,0.05,269,94036,8.7,20487,0.487,0.513,552,20.22,5.26,19.2,36.5,37.10
287,Rock,Wisc,4.7,5.6,0.231833813,3.60,13,222,26.3,47,0.428,0.572,30,0.37,1.79,0.3,1.6,1.56
288,Big Eau Pleine,Wisc,27.6,4.8,9.7,0.43,71,41116,132.7,1488,0.528,0.472,134,2.06,2.08,2.3,11.1,11.07
