UID,SITE_ID,VISIT_NO,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,LAB,d18O_H2O,dD_H2O,E_I,RT,PUBLICATION_DATE
2008887,NLA06608-R723,1,8/23/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-3.87,-25.59,0.207,0.37,8/13/2018
2008888,NLA06608-R728,1,8/15/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-1.7,-14.95,0.456,1.04,8/13/2018
2008889,NLA06608-R730,1,7/3/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-2.09,-16.08,0.43,1.79,8/13/2018
2008890,NLA06608-R733,1,7/2/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-3.7,-26.27,0.216,0.99,8/13/2018
2008891,NLA06608-R736,1,7/12/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-3.25,-21.05,0.164,1.26,8/13/2018
2008892,NLA06608-R746,1,7/16/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-4.75,-27.19,0.16,0.53,8/13/2018
2008893,NLA06608-R750,1,7/18/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-3.78,-24.28,0.112,0.18,8/13/2018
2008894,NLA06608-R759,1,7/26/2007,PLNLOW,SPL,KS,PLAINS,ISIRF,0.22,-9.84,0.71,5.66,8/13/2018
2008895,NLA06608-R764,1,8/24/2007,PLNLOW,SPL,KS,PLAINS,ISIRF,-3.46,-20.01,0.055,0.08,8/13/2018
2008896,NLA06608-R767,1,8/2/2007,EHIGH,SAP,MO,EHIGH,ISIRF,-3.62,-26.74,0.19,1.18,8/13/2018
2008897,NLA06608-R769,1,8/1/2007,EHIGH,SAP,MO,EHIGH,ISIRF,-4.01,-24.88,0.131,0.2,8/13/2018
2008898,NLA06608-R770,1,8/2/2007,EHIGH,SAP,MO,EHIGH,ISIRF,-4.31,-28.59,0.139,0.36,8/13/2018
2008899,NLA06608-R772,1,9/7/2007,EHIGH,SAP,MO,EHIGH,ISIRF,-1.28,-18.26,0.359,1.37,8/13/2018
2008900,NLA06608-R775,1,9/6/2007,EHIGH,SAP,MO,EHIGH,ISIRF,-1.67,-19.97,0.239,1.31,8/13/2018
2008901,NLA06608-R784,1,9/20/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-8.75,-79.79,0.142,0.32,8/13/2018
2008902,NLA06608-R788,1,9/18/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-0.28,-19.84,1.043,0.62,8/13/2018
2008903,NLA06608-R791,1,9/19/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-0.09,-18.08,0.639,0.32,8/13/2018
2008904,NLA06608-R792,1,9/19/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-0.21,-20.59,0.727,0.42,8/13/2018
2008905,NLA06608-R796,1,9/19/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,0.6,-15.05,0.718,0.44,8/13/2018
2008906,NLA06608-TX:10,1,9/11/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-1.57,-10.55,0.256,0.02,8/13/2018
2008907,NLA06608-TX:14,1,9/10/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-1.99,-12.29,0.195,1.23,8/13/2018
2008908,NLA06608-TX:15,1,9/8/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-0.17,-3.71,0.336,2.49,8/13/2018
2008909,NLA06608-TX:19,1,9/15/2007,PLNLOW,CPL,TX,CPL,ISIRF,-0.7,-5.8,0.267,0.9,8/13/2018
2008910,NLA06608-TX:22,1,9/17/2007,PLNLOW,CPL,TX,CPL,ISIRF,-2.68,-15.91,0.115,0.19,8/13/2018
2008911,NLA06608-TX:27,1,9/6/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-1.66,-15.92,0.234,0.39,8/13/2018
2008912,NLA06608-TX:29,1,9/13/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-2.11,-13.24,0.051,0.32,8/13/2018
2008913,NLA06608-TX:30,1,9/18/2007,PLNLOW,CPL,TX,CPL,ISIRF,-1.58,-9.08,0.176,0.12,8/13/2018
